,Title,type,subway,check,score_Кухня,score_Интерьер,score_Сервис,votes,district
1,Лобби-бар отеля «Европа»,Кафе,"Невский Проспект, Гостиный Двор",3300.0,0.0,0.0,0.0,1.0,distr_Centr
5,Кабинет-портрет,Ресторан,"Владимирская, Достоевская",1200.0,8.6,9.4,8.8,76.0,distr_Centr
6,Legran,Ресторан,"Невский Проспект, Гостиный Двор, Адмиралтейская",2500.0,8.9,9.5,9.0,65.0,distr_Centr
14,Мойка 3,Ресторан,"Невский Проспект, Гостиный Двор",1300.0,8.2,8.4,8.3,4.0,distr_Centr
18,Северянин,Ресторан,"Садовая, Сенная Площадь, Спасская",1500.0,8.1,8.0,8.4,34.0,distr_Centr
19,Тамар,Ресторан,"Гостиный Двор, Невский Проспект",1300.0,0.0,0.0,0.0,3.0,distr_Centr
22,Blackwood,Паб,Чернышевская,1300.0,8.8,8.9,8.6,10.0,distr_Centr
27,Jungle,Кафе,"Невский Проспект, Гостиный Двор",1000.0,7.3,8.4,7.0,40.0,distr_Centr
28,Birch,Ресторан,Чернышевская,1200.0,9.0,8.6,8.7,38.0,distr_Centr
32,Par,Ресторан,Чернышевская,1200.0,8.8,9.2,8.7,322.0,distr_Centr
37,Vsёхорошо!,Ресторан,"Сенная Площадь, Садовая, Спасская",750.0,7.0,7.2,6.1,113.0,distr_Centr
41,Tsunami,Ресторан,"Площадь Восстания, Маяковская",1100.0,8.3,7.6,8.1,36.0,distr_Centr
43,Animals,Ресторан,Чернышевская,1200.0,8.3,8.3,7.5,14.0,distr_Centr
46,Kuznya House,Ресторан,"Садовая, Сенная Площадь, Спасская",1500.0,6.2,7.5,6.2,32.0,distr_Centr
47,Hard Rock Cafe,Кафе,"Садовая, Сенная Площадь, Спасская",1200.0,8.4,9.7,8.6,10.0,distr_Centr
50,Траппист,Бар,"Чернышевская, Маяковская, Площадь Восстания",1500.0,8.1,8.0,8.1,57.0,distr_Centr
53,СВЧ,Кулинарная студия,"Садовая, Спасская, Сенная Площадь",1500.0,10.0,9.7,9.9,7.0,distr_Centr
56,Пхали хинкали,Ресторан,"Невский Проспект, Гостиный Двор",850.0,7.4,8.4,7.7,10.0,distr_Centr
57,Jager Restopub,Ресторан,Маяковская,1100.0,7.9,8.8,7.3,15.0,distr_Centr
58,St. Martin,Бар,"Гостиный Двор, Маяковская",1300.0,9.4,9.6,9.9,10.0,distr_Centr
59,Хочу харчо,Ресторан,"Садовая, Сенная Площадь, Спасская",1900.0,8.4,8.3,8.1,169.0,distr_Centr
